t_s,fps,worst_frame_ms,thermal
1,60.4,17.06,nominal
2,60.0,16.82,nominal
3,60.0,16.76,nominal
4,60.0,16.89,nominal
5,60.0,16.74,nominal
6,60.0,16.81,nominal
7,60.0,16.76,nominal
8,60.0,16.77,nominal
9,60.0,16.91,nominal
10,60.0,16.86,nominal
11,60.0,16.76,nominal
12,60.0,16.88,nominal
13,60.0,16.80,nominal
14,60.0,16.73,nominal
15,60.0,16.85,nominal
16,60.0,16.85,nominal
17,60.0,17.01,nominal
18,60.0,16.74,nominal
19,60.0,16.77,nominal
20,60.0,16.77,nominal
21,60.0,16.79,nominal
22,60.0,16.93,nominal
23,60.0,16.77,nominal
24,60.0,16.89,nominal
25,60.0,16.87,nominal
26,60.0,16.80,nominal
27,60.0,16.77,nominal
28,60.0,16.75,nominal
29,60.0,16.75,nominal
30,60.0,16.76,nominal
32,60.0,16.78,nominal
33,60.0,16.96,nominal
34,60.0,16.74,nominal
35,60.0,16.68,nominal
36,60.0,16.76,nominal
37,60.0,16.77,nominal
38,60.0,16.83,nominal
39,60.0,16.72,nominal
40,60.0,16.84,nominal
41,60.0,16.89,nominal
42,60.0,16.79,nominal
43,60.0,16.97,nominal
44,60.0,16.79,nominal
45,60.0,16.75,nominal
46,60.0,16.75,nominal
47,60.0,16.76,nominal
48,60.0,16.87,nominal
49,60.0,16.74,nominal
50,60.0,16.90,nominal
51,60.0,16.77,nominal
52,60.0,16.74,nominal
53,60.0,16.84,nominal
54,60.0,16.77,nominal
55,60.0,16.82,nominal
56,60.0,16.76,nominal
57,60.0,16.74,nominal
58,60.0,16.88,nominal
59,60.0,16.77,nominal
60,60.0,16.76,nominal
61,60.0,16.80,nominal
62,60.0,16.70,nominal
63,60.0,16.52,nominal
64,60.0,16.72,nominal
65,60.0,16.69,nominal
66,60.0,16.75,nominal
67,60.0,16.73,nominal
68,60.0,16.75,nominal
69,60.0,16.62,nominal
70,60.0,16.79,nominal
71,60.0,16.74,nominal
72,60.0,16.83,nominal
73,60.0,16.74,nominal
74,60.0,16.75,nominal
75,54.1,16.67,nominal
76,60.0,0.35,nominal
77,60.0,0.42,nominal
78,42.0,33.48,nominal
79,42.3,33.40,nominal
80,39.7,32.97,nominal
81,52.2,32.93,nominal
82,58.0,16.47,nominal
83,60.0,0.72,nominal
84,60.0,0.59,nominal
85,60.0,0.58,nominal
86,60.0,0.49,nominal
87,60.0,0.51,nominal
88,60.0,0.55,nominal
89,60.0,0.45,nominal
90,60.0,0.42,nominal
91,60.0,0.45,nominal
93,60.0,0.43,nominal
94,60.0,0.34,nominal
95,60.0,0.33,nominal
96,60.0,0.30,nominal
97,60.0,0.33,nominal
98,60.0,0.20,nominal
99,60.0,0.26,nominal
100,60.0,19.40,nominal
101,60.0,16.72,nominal
102,60.0,16.73,nominal
103,60.0,16.73,nominal
104,60.0,16.88,nominal
105,60.0,16.57,nominal
106,60.0,16.63,nominal
107,60.0,19.19,nominal
108,60.0,16.61,nominal
109,60.0,16.62,nominal
110,60.0,16.66,nominal
111,60.0,16.65,nominal
112,60.0,16.66,nominal
113,60.0,16.65,nominal
114,60.0,16.73,nominal
115,60.0,16.76,nominal
116,60.0,16.87,nominal
117,60.0,16.72,nominal
118,60.0,16.83,nominal
119,60.0,16.82,nominal
120,60.0,16.91,nominal
121,60.0,16.81,nominal
122,60.0,16.79,nominal
123,60.0,16.78,nominal
124,60.0,16.85,nominal
125,60.0,16.77,nominal
126,60.0,16.82,nominal
127,60.0,16.95,nominal
128,60.0,16.93,nominal
129,60.0,16.85,nominal
130,60.0,16.79,nominal
131,60.0,16.93,nominal
132,60.0,16.76,nominal
133,60.0,16.87,nominal
134,60.0,16.66,nominal
135,60.0,16.69,nominal
136,60.0,16.68,nominal
137,60.0,16.75,nominal
138,60.0,16.73,nominal
139,60.0,16.73,nominal
140,60.0,16.70,nominal
141,60.0,16.70,nominal
142,60.0,16.76,nominal
143,60.0,16.92,nominal
144,60.0,16.73,nominal
