t,src,status,d1,d2
1788433227.877054,iPad,225,105,65
1788433227.893844,iPad,225,114,65
1788433227.910494,iPad,225,122,65
1788433227.927131,iPad,225,1,66
1788433227.943791,iPad,225,10,66
1788433227.960445,iPad,225,19,66
1788433227.977201,iPad,225,27,66
1788433227.993755,iPad,225,36,66
1788433228.010449,iPad,225,45,66
1788433228.027086,iPad,225,55,66
1788433228.043749,iPad,225,63,66
1788433228.060345,iPad,225,69,66
1788433228.076883,iPad,225,73,66
1788433228.077010,iPad,209,0,0
1788433228.077125,iPad,129,55,64
1788433228.311630,iPad,226,0,64
1788433228.311630,iPad,146,79,120
1788433228.343438,iPad,226,104,63
1788433228.343582,iPad,210,1,0
1788433228.360110,iPad,226,84,63
1788433228.360237,iPad,210,3,0
1788433228.376736,iPad,226,66,63
1788433228.376853,iPad,210,4,0
1788433228.393654,iPad,226,50,63
1788433228.393780,iPad,210,9,0
1788433228.410423,iPad,226,35,63
1788433228.410545,iPad,210,11,0
1788433228.427031,iPad,226,22,63
1788433228.427128,iPad,210,15,0
1788433228.443673,iPad,226,9,63
1788433228.443732,iPad,210,18,0
1788433228.460450,iPad,226,123,62
1788433228.460557,iPad,210,19,0
1788433228.477099,iPad,226,107,62
1788433228.494275,iPad,226,95,62
1788433228.510437,iPad,226,82,62
1788433228.510556,iPad,210,17,0
1788433228.527136,iPad,226,70,62
1788433228.527267,iPad,210,15,0
1788433228.544144,iPad,226,58,62
1788433228.544401,iPad,210,12,0
1788433228.560343,iPad,210,0,0
1788433228.560443,iPad,130,79,64
1788433228.828325,iPad,227,0,64
1788433228.828325,iPad,147,75,120
1788433228.910155,iPad,227,13,64
1788433228.910267,iPad,211,3,0
1788433228.926906,iPad,227,40,64
1788433228.927008,iPad,211,1,0
1788433228.943693,iPad,227,72,64
1788433228.943786,iPad,211,0,0
1788433228.960365,iPad,227,103,64
1788433228.977017,iPad,227,5,65
1788433228.993693,iPad,227,32,65
1788433229.010382,iPad,227,56,65
1788433229.027044,iPad,227,78,65
1788433229.043778,iPad,227,95,65
1788433229.043889,iPad,211,3,0
1788433229.060358,iPad,227,111,65
1788433229.060470,iPad,211,8,0
1788433229.076913,iPad,211,0,0
1788433229.077009,iPad,131,75,64
1788433229.262071,iPad,228,0,64
1788433229.262071,iPad,148,40,120
1788433229.326833,iPad,228,7,64
1788433229.326917,iPad,212,14,0
1788433229.343241,iPad,228,25,64
1788433229.343360,iPad,212,21,0
1788433229.360215,iPad,228,48,64
1788433229.360331,iPad,212,24,0
1788433229.376898,iPad,228,76,64
1788433229.377026,iPad,212,26,0
1788433229.393499,iPad,228,101,64
1788433229.393633,iPad,212,22,0
1788433229.410301,iPad,228,126,64
1788433229.410406,iPad,212,18,0
1788433229.426959,iPad,228,24,65
1788433229.427084,iPad,212,15,0
1788433229.443684,iPad,228,45,65
1788433229.443775,iPad,212,14,0
1788433229.460249,iPad,228,63,65
1788433229.477004,iPad,228,80,65
1788433229.477199,iPad,212,13,0
1788433229.493750,iPad,228,92,65
1788433229.493894,iPad,212,12,0
1788433229.510378,iPad,228,104,65
1788433229.527057,iPad,228,125,65
1788433229.543554,iPad,212,0,0
1788433229.543667,iPad,132,40,64
1788433229.745033,iPad,229,0,64
1788433229.745033,iPad,149,101,120
1788433229.826818,iPad,229,2,64
1788433229.826943,iPad,213,8,0
1788433229.843323,iPad,229,11,64
1788433229.843422,iPad,213,14,0
1788433229.859923,iPad,229,27,64
1788433229.859989,iPad,213,20,0
1788433229.876941,iPad,229,48,64
1788433229.877024,iPad,213,30,0
1788433229.893566,iPad,229,71,64
1788433229.893660,iPad,213,39,0
1788433229.910383,iPad,229,93,64
1788433229.910484,iPad,213,41,0
1788433229.927026,iPad,229,115,64
1788433229.927156,iPad,213,38,0
1788433229.943748,iPad,229,5,65
1788433229.943825,iPad,213,37,0
1788433229.960328,iPad,229,26,65
1788433229.960421,iPad,213,36,0
1788433229.977001,iPad,229,46,65
1788433229.993690,iPad,229,63,65
1788433230.010522,iPad,229,82,65
1788433230.010623,iPad,213,34,0
1788433230.026964,iPad,229,96,65
1788433230.027119,iPad,213,32,0
1788433230.043793,iPad,229,110,65
1788433230.043902,iPad,213,31,0
1788433230.060324,iPad,229,121,65
1788433230.060421,iPad,213,29,0
1788433230.077026,iPad,229,1,66
1788433230.077162,iPad,213,28,0
1788433230.093455,iPad,229,5,66
1788433230.093555,iPad,213,0,0
1788433230.093656,iPad,133,101,64
1788433230.294992,iPad,230,0,64
1788433230.294992,iPad,150,42,120
1788433230.343318,iPad,230,8,64
1788433230.359874,iPad,230,27,64
1788433230.376693,iPad,230,54,64
1788433230.393442,iPad,230,82,64
1788433230.410225,iPad,230,108,64
1788433230.410377,iPad,214,1,0
1788433230.426875,iPad,230,5,65
1788433230.427001,iPad,214,3,0
1788433230.443597,iPad,230,25,65
1788433230.443724,iPad,214,5,0
1788433230.460271,iPad,230,41,65
1788433230.460382,iPad,214,6,0
1788433230.477124,iPad,230,54,65
1788433230.477311,iPad,214,9,0
1788433230.493953,iPad,230,61,65
1788433230.510307,iPad,230,68,65
1788433230.510434,iPad,214,11,0
1788433230.526988,iPad,230,76,65
1788433230.527103,iPad,214,12,0
1788433230.543434,iPad,230,81,65
1788433230.543544,iPad,214,13,0
1788433230.543647,iPad,214,0,0
1788433230.543761,iPad,134,42,64
1788433230.961552,iPad,231,0,64
1788433230.961552,iPad,151,75,120
1788433230.978300,iPad,232,0,64
1788433230.978300,iPad,152,41,120
1788433230.994167,iPad,233,0,64
1788433230.994167,iPad,153,52,120
1788433231.027104,iPad,231,1,64
1788433231.027218,iPad,215,2,0
1788433231.027288,iPad,233,8,64
1788433231.043133,iPad,231,23,64
1788433231.043133,iPad,233,28,64
1788433231.043268,iPad,215,11,0
1788433231.043337,iPad,232,12,64
1788433231.060111,iPad,231,54,64
1788433231.060256,iPad,215,17,0
1788433231.060337,iPad,233,54,64
1788433231.060423,iPad,232,33,64
1788433231.076803,iPad,231,88,64
1788433231.076989,iPad,215,21,0
1788433231.077071,iPad,233,85,64
1788433231.077568,iPad,232,56,64
1788433231.093522,iPad,231,116,64
1788433231.093634,iPad,215,17,0
1788433231.094068,iPad,233,113,64
1788433231.094068,iPad,232,81,64
1788433231.110333,iPad,231,15,65
1788433231.110438,iPad,215,14,0
1788433231.110539,iPad,233,15,65
1788433231.111009,iPad,232,105,64
1788433231.127049,iPad,231,40,65
1788433231.127648,iPad,215,12,0
1788433231.127755,iPad,233,48,65
1788433231.127755,iPad,232,3,65
1788433231.143748,iPad,231,64,65
1788433231.143904,iPad,215,10,0
1788433231.144395,iPad,233,77,65
1788433231.144395,iPad,232,27,65
1788433231.160382,iPad,231,86,65
1788433231.160490,iPad,215,9,0
1788433231.160569,iPad,233,102,65
1788433231.161027,iPad,232,53,65
1788433231.176877,iPad,231,108,65
1788433231.177079,iPad,215,8,0
1788433231.177544,iPad,233,125,65
1788433231.177544,iPad,232,74,65
1788433231.193623,iPad,231,127,65
1788433231.193745,iPad,233,17,66
1788433231.193876,iPad,232,96,65
1788433231.210287,iPad,231,20,66
1788433231.210382,iPad,215,7,0
1788433231.210479,iPad,233,35,66
1788433231.210947,iPad,232,115,65
1788433231.226908,iPad,231,37,66
1788433231.227472,iPad,233,54,66
1788433231.227472,iPad,232,6,66
1788433231.243679,iPad,231,53,66
1788433231.243814,iPad,215,6,0
1788433231.243921,iPad,233,70,66
1788433231.244027,iPad,232,23,66
1788433231.260293,iPad,231,69,66
1788433231.260408,iPad,215,5,0
1788433231.260945,iPad,233,87,66
1788433231.260945,iPad,232,38,66
1788433231.277027,iPad,231,83,66
1788433231.277445,iPad,215,4,0
