t,src,status,d1,d2
1788426321.490082,Réseau Session RTP 1,209,4,0
1788426321.509139,Réseau Session RTP 1,225,2,66
1788426321.509139,Réseau Session RTP 1,209,0,0
1788426321.524975,Réseau Session RTP 1,225,84,64
1788426321.543071,Réseau Session RTP 1,225,0,64
1788426321.558846,Réseau Session RTP 1,225,62,63
1788426321.574915,Réseau Session RTP 1,225,53,62
1788426321.590901,Réseau Session RTP 1,225,105,61
1788426321.609700,Réseau Session RTP 1,225,49,61
1788426321.624238,Réseau Session RTP 1,225,114,60
1788426321.644198,Réseau Session RTP 1,225,44,60
1788426321.658736,Réseau Session RTP 1,225,109,59
1788426321.674934,Réseau Session RTP 1,225,46,59
1788426321.690786,Réseau Session RTP 1,225,104,58
1788426321.709205,Réseau Session RTP 1,225,42,58
1788426321.724896,Réseau Session RTP 1,225,100,57
1788426321.741072,Réseau Session RTP 1,225,37,57
1788426321.759066,Réseau Session RTP 1,225,116,56
1788426321.774905,Réseau Session RTP 1,225,67,56
1788426321.791034,Réseau Session RTP 1,225,18,56
1788426321.808785,Réseau Session RTP 1,225,90,55
1788426321.824893,Réseau Session RTP 1,225,41,55
1788426321.840925,Réseau Session RTP 1,225,6,55
1788426321.947025,Réseau Session RTP 1,225,107,54
1788426321.947025,Réseau Session RTP 1,225,86,54
1788426321.947025,Réseau Session RTP 1,225,65,54
1788426321.947025,Réseau Session RTP 1,225,51,54
1788426321.947025,Réseau Session RTP 1,225,37,54
1788426321.958828,Réseau Session RTP 1,225,30,54
1788426321.991100,Réseau Session RTP 1,225,23,54
1788426322.008908,Réseau Session RTP 1,225,16,54
1788426322.024787,Réseau Session RTP 1,225,9,54
1788426322.117248,Réseau Session RTP 1,209,0,0
1788426322.117248,Réseau Session RTP 1,129,75,64
1788426322.469334,Réseau Session RTP 1,226,0,64
1788426322.469334,Réseau Session RTP 1,146,87,120
1788426322.541662,Réseau Session RTP 1,226,37,64
1788426322.558971,Réseau Session RTP 1,226,3,65
1788426322.574934,Réseau Session RTP 1,226,82,65
1788426322.591155,Réseau Session RTP 1,226,37,66
1788426322.608923,Réseau Session RTP 1,226,121,66
1788426322.624409,Réseau Session RTP 1,226,84,67
1788426322.642833,Réseau Session RTP 1,226,33,68
1788426322.659132,Réseau Session RTP 1,226,117,68
1788426322.674772,Réseau Session RTP 1,226,72,69
1788426322.690848,Réseau Session RTP 1,226,35,70
1788426322.709228,Réseau Session RTP 1,226,105,70
1788426322.724894,Réseau Session RTP 1,226,47,71
1788426322.741017,Réseau Session RTP 1,226,110,71
1788426322.758946,Réseau Session RTP 1,226,45,72
1788426322.774955,Réseau Session RTP 1,226,94,72
1788426322.791661,Réseau Session RTP 1,226,15,73
1788426322.808636,Réseau Session RTP 1,226,49,73
1788426322.825300,Réseau Session RTP 1,226,84,73
1788426322.841084,Réseau Session RTP 1,226,112,73
1788426322.858042,Réseau Session RTP 1,226,126,73
1788426322.874821,Réseau Session RTP 1,226,12,74
1788426322.890899,Réseau Session RTP 1,226,26,74
1788426322.994275,Réseau Session RTP 1,226,33,74
1788426322.994275,Réseau Session RTP 1,226,40,74
1788426323.009005,Réseau Session RTP 1,226,47,74
1788426323.041304,Réseau Session RTP 1,226,61,74
1788426323.058539,Réseau Session RTP 1,210,0,0
1788426323.058539,Réseau Session RTP 1,130,87,64
1788426323.342893,Réseau Session RTP 1,227,0,64
1788426323.342893,Réseau Session RTP 1,147,85,120
1788426323.521526,Réseau Session RTP 1,227,42,64
1788426323.521526,Réseau Session RTP 1,211,10,0
1788426323.521526,Réseau Session RTP 1,227,16,65
1788426323.521526,Réseau Session RTP 1,211,19,0
1788426323.521526,Réseau Session RTP 1,227,96,65
1788426323.521526,Réseau Session RTP 1,211,16,0
1788426323.521526,Réseau Session RTP 1,227,30,66
1788426323.521526,Réseau Session RTP 1,211,12,0
1788426323.521526,Réseau Session RTP 1,227,79,66
1788426323.521526,Réseau Session RTP 1,211,8,0
