t,src,status,d1,d2
1788425696.669525,Réseau Session RTP 1,225,23,64
1788425696.669525,Réseau Session RTP 1,209,62,0
1788425696.669525,Réseau Session RTP 1,226,74,64
1788425696.669525,Réseau Session RTP 1,210,86,0
1788425696.669525,Réseau Session RTP 1,228,13,63
1788425696.669525,Réseau Session RTP 1,229,34,65
1788425696.669525,Réseau Session RTP 1,230,109,62
1788425696.669525,Réseau Session RTP 1,231,77,64
1788425696.669525,Réseau Session RTP 1,232,20,64
1788425696.669525,Réseau Session RTP 1,233,11,63
1788425696.669525,Réseau Session RTP 1,217,24,0
1788425696.669525,Réseau Session RTP 1,234,110,62
1788425696.669525,Réseau Session RTP 1,235,35,65
1788425696.669525,Réseau Session RTP 1,219,15,0
1788425696.669525,Réseau Session RTP 1,218,9,0
1788425696.669525,Réseau Session RTP 1,215,7,0
1788425696.669525,Réseau Session RTP 1,212,33,0
1788425696.669525,Réseau Session RTP 1,216,15,0
1788425696.685385,Réseau Session RTP 1,225,29,64
1788425696.685385,Réseau Session RTP 1,209,66,0
1788425696.685385,Réseau Session RTP 1,226,69,64
1788425696.685385,Réseau Session RTP 1,210,89,0
1788425696.685385,Réseau Session RTP 1,228,9,63
1788425696.685385,Réseau Session RTP 1,229,35,65
1788425696.685385,Réseau Session RTP 1,230,111,62
1788425696.685385,Réseau Session RTP 1,231,71,64
1788425696.685385,Réseau Session RTP 1,232,26,64
1788425696.685385,Réseau Session RTP 1,233,7,63
1788425696.685385,Réseau Session RTP 1,217,22,0
1788425696.685385,Réseau Session RTP 1,234,113,62
1788425696.685385,Réseau Session RTP 1,219,16,0
1788425696.685385,Réseau Session RTP 1,213,44,0
1788425696.685385,Réseau Session RTP 1,235,36,65
1788425696.685385,Réseau Session RTP 1,218,10,0
1788425696.685385,Réseau Session RTP 1,215,6,0
1788425696.685385,Réseau Session RTP 1,216,14,0
1788425696.685385,Réseau Session RTP 1,214,54,0
1788425696.705164,Réseau Session RTP 1,225,35,64
1788425696.705164,Réseau Session RTP 1,209,69,0
1788425696.705164,Réseau Session RTP 1,226,65,64
1788425696.705164,Réseau Session RTP 1,210,92,0
