t_s,port,port_name,status,d1,d2
6305.036798,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,190,100,127
6305.036798,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,191,101,0
6305.036798,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,191,100,0
6305.036839,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,191,6,48
6305.036840,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,191,101,127
6305.036840,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,191,100,127
6305.036840,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,224,0,64
6305.036840,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,176,1,0
6305.036841,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,176,23,0
6305.036841,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,176,24,0
6305.036841,32:0,SAMSUNG_Android SAMSUNG_Android MIDI 1,176,64,0
6305.080434,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,176,101,0
6305.080441,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,176,100,6
6305.080441,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,176,6,15
6305.080441,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,176,101,127
6305.080442,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,176,100,127
6305.080442,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,177,101,0
6305.080442,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,177,100,0
6305.080443,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,177,6,48
6305.080443,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,177,101,127
6305.080443,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,177,100,127
6305.080443,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,178,101,0
6305.080444,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,178,100,0
6305.080444,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,178,6,48
6305.080444,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,178,101,127
6305.080444,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,178,100,127
6305.125409,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,179,101,0
6305.125416,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,179,100,0
6305.125417,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,179,6,48
6305.125417,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,179,101,127
6305.125418,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,179,100,127
6305.125418,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,180,101,0
6305.125418,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,180,100,0
6305.125418,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,180,6,48
6305.125419,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,180,101,127
6305.125419,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,180,100,127
6305.125419,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,181,101,0
6305.125419,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,181,100,0
6305.125420,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,181,6,48
6305.125420,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,181,101,127
6305.125420,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,181,100,127
6305.125420,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,182,101,0
6305.125421,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,182,100,0
6305.125421,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,182,6,48
6305.125421,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,182,101,127
6305.125421,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,182,100,127
6305.125422,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,183,101,0
6305.125422,128:0,Tab S8 Ultra de Pedro Tab S8 Ultra de Pedro Bluetooth,183,100,0
