touch_to_render_ms
0.55
0.40
0.40
0.39
0.43
0.34
0.40
0.34
0.33
0.35
0.50
0.44
0.40
0.34
0.42
0.48
0.34
0.37
0.34
0.37
0.39
0.43
0.37
0.40
0.36
0.41
0.32
0.55
0.40
0.36
0.38
0.38
0.36
0.55
0.40
0.29
