t,status,d1,d2,src
30038.3325,226,99,58,1
30038.3492,226,74,58,1
30038.3658,226,48,58,1
30038.3825,226,24,58,1
30038.3992,226,2,58,1
30038.4158,226,108,57,1
30038.4325,226,86,57,1
30038.4491,226,65,57,1
30038.4658,226,47,57,1
30038.4825,226,30,57,1
30038.4992,226,15,57,1
30038.5158,226,124,56,1
30038.5325,226,109,56,1
30038.5492,226,93,56,1
30038.5658,226,79,56,1
30038.5825,226,65,56,1
30038.5992,226,54,56,1
30038.6158,226,42,56,1
30038.6325,226,30,56,1
30038.6491,226,19,56,1
30038.6658,226,7,56,1
30038.6825,226,123,55,1
30038.6992,226,114,55,1
30038.7158,226,105,55,1
30038.7325,226,98,55,1
30038.7491,226,92,55,1
30038.7658,226,84,55,1
30038.7825,226,77,55,1
30038.7991,226,70,55,1
30038.8158,226,64,55,1
30038.8325,226,58,55,1
30038.8491,226,53,55,1
30038.8658,226,47,55,1
30038.8825,226,40,55,1
30038.8991,226,32,55,1
30038.9158,226,25,55,1
30038.9325,226,17,55,1
30038.9491,226,9,55,1
30038.9658,226,1,55,1
30038.9825,226,120,54,1
30038.9991,226,112,54,1
30039.0158,226,104,54,1
30039.0325,226,98,54,1
30039.0491,226,93,54,1
30039.0658,226,89,54,1
30039.0825,226,86,54,1
30039.0991,226,85,54,1
30039.1158,226,83,54,1
30039.1324,226,82,54,1
30039.1491,226,81,54,1
30039.1658,226,74,54,1
30039.1825,210,0,0,1
30039.1825,130,66,64,1
30040.4671,227,0,64,1
30040.4671,147,89,120,1
30040.5325,227,10,64,1
30040.5325,211,5,0,1
30040.5491,227,38,64,1
30040.5491,211,8,0,1
30040.5657,227,71,64,1
30040.5657,211,9,0,1
30040.5825,227,104,64,1
30040.5825,211,8,0,1
30040.5991,227,7,65,1
30040.5991,211,6,0,1
30040.6158,227,40,65,1
30040.6158,211,5,0,1
30040.6324,227,74,65,1
30040.6491,227,109,65,1
30040.6491,211,6,0,1
30040.6659,227,19,66,1
30040.6659,211,8,0,1
30040.6824,227,58,66,1
30040.6824,211,9,0,1
30040.6991,227,97,66,1
30040.6991,211,10,0,1
30040.7157,227,17,67,1
30040.7157,211,11,0,1
30040.7324,227,72,67,1
30040.7491,227,126,67,1
30040.7491,211,12,0,1
30040.7657,227,50,68,1
30040.7824,227,95,68,1
30040.7991,227,6,69,1
30040.8157,227,36,69,1
30040.8324,227,57,69,1
30040.8490,227,70,69,1
30040.8490,211,11,0,1
30040.8657,227,76,69,1
30040.8824,227,81,69,1
30040.8991,211,0,0,1
30040.8991,131,89,64,1
30041.8005,228,0,64,1
30041.8005,148,69,120,1
30041.8658,228,3,64,1
30041.8658,212,8,0,1
30041.8823,228,23,64,1
30041.8823,212,17,0,1
30041.8991,228,54,64,1
30041.8991,212,28,0,1
30041.9157,228,88,64,1
30041.9157,212,37,0,1
30041.9324,228,119,64,1
30041.9324,212,35,0,1
30041.9492,228,20,65,1
30041.9492,212,32,0,1
30041.9659,228,50,65,1
30041.9659,212,29,0,1
30041.9824,228,80,65,1
30041.9824,212,27,0,1
30041.9990,228,105,65,1
30041.9990,212,24,0,1
30042.0157,228,1,66,1
30042.0157,212,23,0,1
30042.0324,228,22,66,1
30042.0324,212,21,0,1
30042.0490,228,40,66,1
30042.0490,212,20,0,1
30042.0657,228,58,66,1
30042.0657,212,19,0,1
30042.0824,228,81,66,1
30042.0824,212,20,0,1
30042.0990,212,0,0,1
30042.0990,132,69,64,1
30042.9837,229,0,64,1
